"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2067,"vint_2067","CO2 (GTC)",4.76920451063433
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2068,"vint_2068","CO2 (GTC)",4.75986006594822
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2069,"vint_2069","CO2 (GTC)",4.75032200835734
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2070,"vint_2070","CO2 (GTC)",4.74059033786169
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2071,"vint_2071","CO2 (GTC)",4.7308567094669
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2072,"vint_2072","CO2 (GTC)",4.72112112317299
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2073,"vint_2073","CO2 (GTC)",4.71138357897995
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2074,"vint_2074","CO2 (GTC)",4.70164407688779
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2075,"vint_2075","CO2 (GTC)",4.6919026168965
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2076,"vint_2076","CO2 (GTC)",4.68226543694877
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2077,"vint_2077","CO2 (GTC)",4.67273253704461
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2078,"vint_2078","CO2 (GTC)",4.66330391718402
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2079,"vint_2079","CO2 (GTC)",4.65397957736699
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2080,"vint_2080","CO2 (GTC)",4.64475951759353
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2081,"vint_2081","CO2 (GTC)",4.63567514732511
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2082,"vint_2082","CO2 (GTC)",4.62672646656172
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2083,"vint_2083","CO2 (GTC)",4.61791347530336
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2084,"vint_2084","CO2 (GTC)",4.60923617355004
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2085,"vint_2085","CO2 (GTC)",4.60069456130176
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2086,"vint_2086","CO2 (GTC)",4.59223614656984
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2087,"vint_2087","CO2 (GTC)",4.58386092935429
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2088,"vint_2088","CO2 (GTC)",4.5755689096551
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2089,"vint_2089","CO2 (GTC)",4.56736008747228
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2090,"vint_2090","CO2 (GTC)",4.55923446280582
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2091,"vint_2091","CO2 (GTC)",4.55113604505342
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2092,"vint_2092","CO2 (GTC)",4.54306483421506
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2093,"vint_2093","CO2 (GTC)",4.53502083029076
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2094,"vint_2094","CO2 (GTC)",4.5270040332805
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2095,"vint_2095","CO2 (GTC)",4.51901444318429
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2096,"vint_2096","CO2 (GTC)",4.51103996066216
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2097,"vint_2097","CO2 (GTC)",4.5030805857141
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2098,"vint_2098","CO2 (GTC)",4.49513631834011
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2099,"vint_2099","CO2 (GTC)",4.48720715854019
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2100,"vint_2100","CO2 (GTC)",4.47929310631435
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",1990,"Vint_1990","Electricity Generation by Fuel (TWh)",99.4833281750008
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2005,"Vint_2005","Electricity Generation by Fuel (TWh)",364.947489188892
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2010,"Vint_2010","Electricity Generation by Fuel (TWh)",471.186336633337
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2015,"Vint_2015","Electricity Generation by Fuel (TWh)",521.74069255556
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2020,"Vint_2020","Electricity Generation by Fuel (TWh)",565.344014511171
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2025,"Vint_2025","Electricity Generation by Fuel (TWh)",589.472411046366
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2030,"Vint_2030","Electricity Generation by Fuel (TWh)",667.024330857097
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2035,"Vint_2035","Electricity Generation by Fuel (TWh)",757.682083334423
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2040,"Vint_2040","Electricity Generation by Fuel (TWh)",856.471945350646
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2045,"Vint_2045","Electricity Generation by Fuel (TWh)",915.636885871424
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2050,"Vint_2050","Electricity Generation by Fuel (TWh)",936.905819530563
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2055,"Vint_2055","Electricity Generation by Fuel (TWh)",860.33544716134
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2060,"Vint_2060","Electricity Generation by Fuel (TWh)",832.088283802757
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2065,"Vint_2065","Electricity Generation by Fuel (TWh)",803.05788290784
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2070,"Vint_2070","Electricity Generation by Fuel (TWh)",782.228079220784
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2075,"Vint_2075","Electricity Generation by Fuel (TWh)",760.291693590839
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2080,"Vint_2080","Electricity Generation by Fuel (TWh)",735.788927014589
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2085,"Vint_2085","Electricity Generation by Fuel (TWh)",708.740674786144
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2090,"Vint_2090","Electricity Generation by Fuel (TWh)",670.8180005757
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2095,"Vint_2095","Electricity Generation by Fuel (TWh)",629.740158008061
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecByTechTWh","Year",2100,"Vint_2100","Electricity Generation by Fuel (TWh)",589.552424451949
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",1990,"Vint_1990","Electricity Capacity by Fuel (GW)",11.1574370448658
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2005,"Vint_2005","Electricity Capacity by Fuel (GW)",46.6210185503524
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2010,"Vint_2010","Electricity Capacity by Fuel (GW)",62.7544401636034
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2015,"Vint_2015","Electricity Capacity by Fuel (GW)",71.4694497938313
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2020,"Vint_2020","Electricity Capacity by Fuel (GW)",79.1792774022592
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2025,"Vint_2025","Electricity Capacity by Fuel (GW)",88.953498675574
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2030,"Vint_2030","Electricity Capacity by Fuel (GW)",115.970591099823
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2035,"Vint_2035","Electricity Capacity by Fuel (GW)",144.608646689702
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2040,"Vint_2040","Electricity Capacity by Fuel (GW)",174.529116039476
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2045,"Vint_2045","Electricity Capacity by Fuel (GW)",192.644814218628
