"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2067,"vint_2067","CO2 (GTC)",9.29852002775776
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2068,"vint_2068","CO2 (GTC)",9.40182625945555
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2069,"vint_2069","CO2 (GTC)",9.50626161104238
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2070,"vint_2070","CO2 (GTC)",9.64866919090542
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2071,"vint_2071","CO2 (GTC)",9.73747771777426
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2072,"vint_2072","CO2 (GTC)",9.82861701110259
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2073,"vint_2073","CO2 (GTC)",9.92208707089042
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2074,"vint_2074","CO2 (GTC)",10.0178878971377
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2075,"vint_2075","CO2 (GTC)",10.1542023535785
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2076,"vint_2076","CO2 (GTC)",10.2278523214608
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2077,"vint_2077","CO2 (GTC)",10.3060841441271
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2078,"vint_2078","CO2 (GTC)",10.3888978215774
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2079,"vint_2079","CO2 (GTC)",10.4762933538119
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2080,"vint_2080","CO2 (GTC)",10.6057149310895
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2081,"vint_2081","CO2 (GTC)",10.6638760724209
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2082,"vint_2082","CO2 (GTC)",10.7293383622491
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2083,"vint_2083","CO2 (GTC)",10.8021018005743
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2084,"vint_2084","CO2 (GTC)",10.8821663873963
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2085,"vint_2085","CO2 (GTC)",11.0056622931077
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2086,"vint_2086","CO2 (GTC)",11.0488837743065
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2087,"vint_2087","CO2 (GTC)",11.1021323985196
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2088,"vint_2088","CO2 (GTC)",11.1654081657469
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2089,"vint_2089","CO2 (GTC)",11.2387110759885
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2090,"vint_2090","CO2 (GTC)",11.3562233212997
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2091,"vint_2091","CO2 (GTC)",11.3867866795764
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2092,"vint_2092","CO2 (GTC)",11.4295765948342
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2093,"vint_2093","CO2 (GTC)",11.4845930670731
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2094,"vint_2094","CO2 (GTC)",11.551836096293
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2095,"vint_2095","CO2 (GTC)",11.6635236011988
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2096,"vint_2096","CO2 (GTC)",11.6829240471806
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2097,"vint_2097","CO2 (GTC)",11.7163817504591
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2098,"vint_2098","CO2 (GTC)",11.7638967110341
