"scenario","region","subRegion","param","classLabel","class","xLabel","x","vintage","units","value"
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2046,"vint_2046","CO2 (GTC)",6.58214996469625
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2047,"vint_2047","CO2 (GTC)",6.73569819470518
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2048,"vint_2048","CO2 (GTC)",6.88795083825047
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2049,"vint_2049","CO2 (GTC)",7.03890789533212
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2050,"vint_2050","CO2 (GTC)",7.18856936595012
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2051,"vint_2051","CO2 (GTC)",7.33070515896738
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2052,"vint_2052","CO2 (GTC)",7.47139611925188
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2053,"vint_2053","CO2 (GTC)",7.61064224680362
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2054,"vint_2054","CO2 (GTC)",7.74844354162261
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2055,"vint_2055","CO2 (GTC)",7.88480000370883
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2056,"vint_2056","CO2 (GTC)",8.01517874393996
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2057,"vint_2057","CO2 (GTC)",8.14259753588558
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2058,"vint_2058","CO2 (GTC)",8.2670563795457
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2059,"vint_2059","CO2 (GTC)",8.38855527492031
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2060,"vint_2060","CO2 (GTC)",8.50709422200942
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2061,"vint_2061","CO2 (GTC)",8.62735241337124
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2062,"vint_2062","CO2 (GTC)",8.74344472233126
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2063,"vint_2063","CO2 (GTC)",8.85537114888947
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2064,"vint_2064","CO2 (GTC)",8.96313169304586
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2065,"vint_2065","CO2 (GTC)",9.06672635480045
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2066,"vint_2066","CO2 (GTC)",9.17757301295917
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2067,"vint_2067","CO2 (GTC)",9.28224855604988
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2068,"vint_2068","CO2 (GTC)",9.38075298407257
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2069,"vint_2069","CO2 (GTC)",9.47308629702724
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2070,"vint_2070","CO2 (GTC)",9.55924849491388
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2071,"vint_2071","CO2 (GTC)",9.66232172032658
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2072,"vint_2072","CO2 (GTC)",9.75753116865476
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2073,"vint_2073","CO2 (GTC)",9.84487683989841
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2074,"vint_2074","CO2 (GTC)",9.92435873405755
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2075,"vint_2075","CO2 (GTC)",9.99597685113215
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2076,"vint_2076","CO2 (GTC)",10.0902907934368
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2077,"vint_2077","CO2 (GTC)",10.1756754106503
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2078,"vint_2078","CO2 (GTC)",10.2521307027726
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2079,"vint_2079","CO2 (GTC)",10.3196566698037
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2080,"vint_2080","CO2 (GTC)",10.3782533117435
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2081,"vint_2081","CO2 (GTC)",10.4638290426396
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2082,"vint_2082","CO2 (GTC)",10.5399128525183
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2083,"vint_2083","CO2 (GTC)",10.6065047413795
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2084,"vint_2084","CO2 (GTC)",10.6636047092234
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2085,"vint_2085","CO2 (GTC)",10.7112127560498
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2086,"vint_2086","CO2 (GTC)",10.7913298154891
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2087,"vint_2087","CO2 (GTC)",10.8610055951664
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2088,"vint_2088","CO2 (GTC)",10.9202400950817
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2089,"vint_2089","CO2 (GTC)",10.969033315235
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2090,"vint_2090","CO2 (GTC)",11.0073852556262
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2091,"vint_2091","CO2 (GTC)",11.0818941292707
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2092,"vint_2092","CO2 (GTC)",11.1454661912963
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2093,"vint_2093","CO2 (GTC)",11.1981014417031
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2094,"vint_2094","CO2 (GTC)",11.239799880491
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2095,"vint_2095","CO2 (GTC)",11.2705615076602
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2096,"vint_2096","CO2 (GTC)",11.3400763855443
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2097,"vint_2097","CO2 (GTC)",11.3983334396436
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2098,"vint_2098","CO2 (GTC)",11.4453326699582
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2099,"vint_2099","CO2 (GTC)",11.4810740764879
"Decarbonization","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2100,"vint_2100","CO2 (GTC)",11.505557659233
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2020,"Vint_2020","Electricity Generation by Fuel (TWh)",2.76657500000002e-06
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2025,"Vint_2025","Electricity Generation by Fuel (TWh)",2.13792972222224e-05
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2030,"Vint_2030","Electricity Generation by Fuel (TWh)",9.23673527777785e-05
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2035,"Vint_2035","Electricity Generation by Fuel (TWh)",0.000319627075000003
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2040,"Vint_2040","Electricity Generation by Fuel (TWh)",0.00105971318611112
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2045,"Vint_2045","Electricity Generation by Fuel (TWh)",0.0028114548527778
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2050,"Vint_2050","Electricity Generation by Fuel (TWh)",0.00622113272222227
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2055,"Vint_2055","Electricity Generation by Fuel (TWh)",0.0126776033333334
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2060,"Vint_2060","Electricity Generation by Fuel (TWh)",0.0299728097222225
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2065,"Vint_2065","Electricity Generation by Fuel (TWh)",0.0562295500000004
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2070,"Vint_2070","Electricity Generation by Fuel (TWh)",0.098345297222223
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2075,"Vint_2075","Electricity Generation by Fuel (TWh)",0.143780222222223
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2080,"Vint_2080","Electricity Generation by Fuel (TWh)",0.194195833333335
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2085,"Vint_2085","Electricity Generation by Fuel (TWh)",0.234724916666669
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2090,"Vint_2090","Electricity Generation by Fuel (TWh)",0.269136222222224
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2095,"Vint_2095","Electricity Generation by Fuel (TWh)",0.292106111111113
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (dry_hybrid)","Year",2100,"Vint_2100","Electricity Generation by Fuel (TWh)",0.296584722222225
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2020,"Vint_2020","Electricity Generation by Fuel (TWh)",0.00793277777777784
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2025,"Vint_2025","Electricity Generation by Fuel (TWh)",0.0311238055555558
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2030,"Vint_2030","Electricity Generation by Fuel (TWh)",0.095857972222223
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2035,"Vint_2035","Electricity Generation by Fuel (TWh)",0.24565352777778
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2040,"Vint_2040","Electricity Generation by Fuel (TWh)",0.580367416666671
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2045,"Vint_2045","Electricity Generation by Fuel (TWh)",1.13337019444445
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2050,"Vint_2050","Electricity Generation by Fuel (TWh)",1.89048741666668
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2055,"Vint_2055","Electricity Generation by Fuel (TWh)",2.95644083333336
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2060,"Vint_2060","Electricity Generation by Fuel (TWh)",5.32915944444449
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2065,"Vint_2065","Electricity Generation by Fuel (TWh)",8.47314166666673
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2070,"Vint_2070","Electricity Generation by Fuel (TWh)",13.1320666666668
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2075,"Vint_2075","Electricity Generation by Fuel (TWh)",18.0366194444446
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2080,"Vint_2080","Electricity Generation by Fuel (TWh)",24.4469861111113
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2085,"Vint_2085","Electricity Generation by Fuel (TWh)",30.7396472222225
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2090,"Vint_2090","Electricity Generation by Fuel (TWh)",37.0259444444447
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2095,"Vint_2095","Electricity Generation by Fuel (TWh)",42.6653333333337
"Decarbonization","South Korea","South Korea","elecByTechTWh","Technology","CSP_storage (recirculating)","Year",2100,"Vint_2100","Electricity Generation by Fuel (TWh)",46.9343611111115
