"전력수요","원자력","유연탄","무연탄","바이오가스","부생가스","소수력","수력","양수","매립가스","중유","태양광","폐기물","풍력","LNG","LPG","연료전지","경유","해양에너지","바이오매스","IGCC","바이오중유","기타"
63816,15886.32542,26922.07775,272.442419,46.331248,38.277168,97.431105,101.707675,0,22.518324,242.710636,2.7317,139.087375,45.637112,15148.13277,0,552.608314,0,0,527.393255,192.94968,185.530912,68.376857
61634,15898.7289,26841.34145,274.229646,45.650434,38.214737,97.148057,102.138336,0,23.0488,241.729582,1.785726,139.871996,39.273566,13723.24341,0,552.87586,0,0,528.832368,192.22728,185.5784,67.97047
60381,15905.43265,26845.23073,275.314243,45.844848,38.487539,94.672166,102.388415,0,23.454431,240.721555,1.093768,138.977707,32.502854,13920.02118,0,552.853635,0,0,530.763003,190.25328,185.74584,67.503712
59452,15917.90737,26846.68908,275.635101,45.267901,39.200085,89.03412,102.324835,0,24.176451,241.143082,0.403954,139.300238,32.62349,12942.07659,0,552.853436,0,0,530.317494,230.7676,185.57308,68.622851
59400,15918.01546,26881.94291,276.194568,45.173795,39.003649,80.995116,102.260817,0,24.181987,242.020009,0.124192,139.353186,45.190857,12961.3414,0,551.644604,0,34.549872,532.845127,240.47464,185.355128,70.515154
60278,15905.03271,27510.77361,275.048283,45.064135,39.104976,76.179736,102.434599,0,24.768678,241.423473,0.625352,138.167312,85.064298,13557.20118,0,550.250715,0,181.110384,528.225001,239.00744,185.153528,69.425296
63154,15912.49059,28562.34515,275.002695,44.393228,39.78158,72.210299,102.175404,0.0873,24.90796,242.807236,73.281347,140.323772,88.553835,15445.25371,0,550.51702,0,238.823256,525.448416,239.27232,184.999696,69.212474
68140,15930.33178,29384.58817,300.529604,44.012713,39.346506,71.654685,100.698224,0.360187,24.912076,243.317836,295.236431,139.234132,111.516119,17829.71246,0,550.652119,0,248.726016,527.28039,237.94288,185.001264,70.145496
75109,15913.95115,29762.72802,330.952426,44.575894,39.764734,71.422377,355.239258,237.68776,25.300978,244.179082,577.886865,139.139556,132.904526,21974.69738,0,550.633316,0,225.562848,523.419005,239.56184,184.881592,68.871584
78209,15897.6193,29818.71745,329.861428,42.713239,49.798617,75.143883,369.669603,704.114845,25.494522,243.143455,916.811913,139.734991,166.6172,24258.51389,0,550.531549,0,145.694808,524.729015,239.7584,184.814392,67.412187
79483,15890.89293,30012.40197,329.43659,43.968633,54.919544,81.597599,432.670446,1030.575384,25.432788,243.741873,1013.809461,142.367696,164.445345,24765.61016,0,550.074316,0,41.966568,529.29914,237.58112,185.545696,67.283922
80401,15894.93438,29950.58907,328.690312,45.504238,188.35198,91.722493,439.563315,587.590586,25.316723,241.6794,1019.664595,142.134603,135.402502,26170.17454,0,549.703429,0,0,527.051478,235.93864,185.444616,67.660536
78075,15867.8959,29827.84227,331.934401,45.786777,237.35233,97.424715,206.390437,28.016509,25.312031,242.784027,1113.885127,142.529722,144.575994,24735.62297,0,549.593416,0,0,526.922802,238.02464,185.413424,66.603108
80080,15791.03382,30011.56751,332.388725,45.9809,227.743501,97.924353,303.091043,609.588712,25.305832,243.899318,1169.714624,141.685015,162.495835,25818.60467,0,550.260728,0,0,528.845282,241.02736,185.401888,66.221962
80711,15754.78522,29787.20061,330.470749,45.551734,182.635319,96.009389,364.618275,890.946463,25.215835,242.372536,1154.880166,139.28247,190.562435,26238.97703,0,550.695335,0,0,525.356868,239.54896,185.351992,66.063087
80912,15759.19227,29022.74674,322.955977,44.115762,170.396443,92.760948,431.222655,1155.98428,25.412408,241.8174,1256.615043,128.423143,168.388297,26745.01453,0,551.539294,0,0,523.337454,240.55752,185.398192,66.855139
81779,15743.37778,29891.42989,327.919979,45.851462,158.660856,86.126029,500.291084,1261.991266,25.522543,61.705445,1555.357316,132.379003,90.337284,26734.16209,0,551.872887,0,0,523.928825,240.76024,185.307864,68.342252
81407,15744.08783,30004.78417,330.557075,45.975582,143.983063,77.579989,494.628282,1254.743507,24.460478,31.98944,1296.136429,132.204011,102.228602,26175.73948,0,552.373805,0,68.361888,521.522456,240.08096,185.301032,69.333548
80053,15735.05197,29875.43637,330.016814,45.3631,130.649574,73.215513,463.3682,1256.288259,24.33251,51.882544,839.934401,132.360455,151.603848,25081.07539,0,552.616854,0,198.123072,525.513784,240.2848,185.598448,69.622134
79363,15768.7606,29878.95947,331.793953,44.118948,106.568395,71.392655,449.252934,1255.167339,23.807037,51.841328,338.459408,133.835789,143.019654,24849.06732,0,553.236766,0,225.337056,528.921827,239.17712,185.511872,69.745325
